Reporting Area,MMWR Year,MMWR Week,"Rabies, Animal, Current week","Rabies, Animal, Current week, flag","Rabies, Animal, Previous 52 weeks Max†","Rabies, Animal, Previous 52 weeks Max†, flag","Rabies, Animal, Cum 2019†","Rabies, Animal, Cum 2019†, flag","Rabies, Animal, Cum 2018†","Rabies, Animal, Cum 2018†, flag","Rabies, Human, Current week","Rabies, Human, Current week, flag","Rabies, Human, Previous 52 weeks Max†","Rabies, Human, Previous 52 weeks Max†, flag","Rabies, Human, Cum 2019†","Rabies, Human, Cum 2019†, flag","Rabies, Human, Cum 2018†","Rabies, Human, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
TENNESSEE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191042
MAINE,2019,10,,-,5,,6,,9,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191004
NEW YORK,2019,10,7,,29,,77,,87,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191011
US RESIDENTS,2019,10,27,,82,,243,,422,,,-,1,,,-,1,,,US RESIDENTS,20191001
CALIFORNIA,2019,10,,-,9,,4,,15,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20191059
SOUTH DAKOTA,2019,10,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191027
EAST NORTH CENTRAL,2019,10,1,,24,,7,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20191014
DELAWARE,2019,10,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191029
IOWA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191021
MARYLAND,2019,10,6,,11,,43,,38,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191033
DISTRICT OF COLUMBIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191030
WASHINGTON,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191062
MASSACHUSETTS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191005
MICHIGAN,2019,10,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191017
FLORIDA,2019,10,,-,10,,25,,134,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20191031
VERMONT,2019,10,,-,5,,,-,3,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191008
NORTH CAROLINA,2019,10,9,,17,,41,,36,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191034
MARYLAND,2019,11,,-,11,,43,,40,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191133
WEST SOUTH CENTRAL,2019,11,,-,15,,10,,18,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20191143
UTAH,2019,11,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191155
PUERTO RICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191167
MIDDLE ATLANTIC,2019,11,13,,36,,90,,144,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191109
INDIANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191116
KENTUCKY,2019,11,,-,8,,1,,2,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191140
DELAWARE,2019,11,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191129
NORTH DAKOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191126
GUAM,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191166
NEVADA,2019,11,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191153
SOUTH ATLANTIC,2019,11,13,,24,,132,,214,,,-,1,,,-,1,,,SOUTH ATLANTIC,20191128
SOUTH DAKOTA,2019,11,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191127
HAWAII,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191160
ALASKA,2019,11,1,,2,,3,,1,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191158
COLORADO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191150
TOTAL,2019,11,30,,82,,288,,448,,,-,1,,,-,1,,,TOTAL,20191170
MICHIGAN,2019,11,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191117
OKLAHOMA,2019,11,,-,8,,6,,2,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191146
CONNECTICUT,2019,11,,-,3,,3,,8,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191103
OREGON,2019,11,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191161
TENNESSEE,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191142
EAST SOUTH CENTRAL,2019,11,1,,8,,9,,8,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191138
US RESIDENTS,2019,11,30,,82,,288,,448,,,-,1,,,-,1,,,US RESIDENTS,20191101
MOUNTAIN,2019,11,,-,6,,4,,5,,,-,1,,,-,,-,,MOUNTAIN,20191148
MINNESOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191123
AMERICAN SAMOA,2019,11,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20191164
OHIO,2019,11,,-,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191118
ARKANSAS,2019,11,,-,3,,4,,2,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191144
ARIZONA,2019,11,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191149
TEXAS,2019,11,,-,15,,,-,14,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20191147
MAINE,2019,11,,-,5,,7,,10,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191104
EAST NORTH CENTRAL,2019,11,,-,24,,7,,2,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20191114
NEBRASKA,2019,11,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191125
IOWA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191121
WASHINGTON,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191162
MISSOURI,2019,11,,-,4,,1,,1,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191124
NEW YORK,2019,11,13,,29,,90,,99,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191111
MASSACHUSETTS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191105
ALABAMA,2019,11,1,,4,,8,,6,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191139
ILLINOIS,2019,11,,-,13,,3,,,-,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191115
NEW MEXICO,2019,11,,-,2,,1,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191154
DISTRICT OF COLUMBIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191130
NEW YORK CITY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20191112
RHODE ISLAND,2019,11,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191107
FLORIDA,2019,11,,-,10,,29,,134,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20191131
PENNSYLVANIA,2019,11,,-,13,,,-,45,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191113
GEORGIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191132
NEW ENGLAND,2019,11,,-,13,,13,,30,,,-,0,,,-,,-,,NEW ENGLAND,20191102
WEST VIRGINIA,2019,11,2,,10,,8,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191137
MISSISSIPPI,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191141
NON-US RESIDENTS,2019,11,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191169
VIRGINIA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191136
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191165
PACIFIC,2019,11,2,,9,,14,,17,,,-,0,,,-,,-,,PACIFIC,20191157
NEW HAMPSHIRE,2019,11,,-,3,,3,,6,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191106
CALIFORNIA,2019,11,1,,9,,11,,16,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20191159
VERMONT,2019,11,,-,5,,,-,3,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191108
LOUISIANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191145
U.S. VIRGIN ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191168
WISCONSIN,2019,11,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191119
KANSAS,2019,11,1,,3,,8,,3,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191122
WYOMING,2019,11,,-,4,,3,,3,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191156
NORTH CAROLINA,2019,11,11,,17,,52,,40,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191134
NEW JERSEY,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191110
SOUTH CAROLINA,2019,11,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191135
IDAHO,2019,11,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191151
MONTANA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191152
US TERRITORIES,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191163
WEST NORTH CENTRAL,2019,11,1,,5,,9,,10,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20191120
NEVADA,2019,12,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191253
DISTRICT OF COLUMBIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191230
EAST NORTH CENTRAL,2019,12,,-,24,,7,,3,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20191214
NEW JERSEY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191210
CALIFORNIA,2019,12,,-,9,,12,,17,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20191259
UTAH,2019,12,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191255
U.S. VIRGIN ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191268
FLORIDA,2019,12,,-,10,,32,,134,,,-,0,,,-,1,,"FLORIDA
(28.260731, -82.420978)",,20191231
NEBRASKA,2019,12,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191225
LOUISIANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191245
COLORADO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191250
MONTANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191252
MASSACHUSETTS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191205
AMERICAN SAMOA,2019,12,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20191264
MOUNTAIN,2019,12,,-,6,,6,,5,,,-,1,,,-,,-,,MOUNTAIN,20191248
MARYLAND,2019,12,9,,11,,60,,43,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191233
NEW YORK,2019,12,15,,29,,105,,104,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191211
SOUTH CAROLINA,2019,12,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191235
NEW HAMPSHIRE,2019,12,1,,3,,4,,9,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191206
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191266
MISSISSIPPI,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191241
NORTH DAKOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191226
MINNESOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191223
TOTAL,2019,12,32,,108,,334,,524,,,-,1,,,-,1,,,TOTAL,20191270
MIDDLE ATLANTIC,2019,12,15,,36,,105,,154,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191209
MAINE,2019,12,,-,5,,7,,10,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191204
TENNESSEE,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191242
PENNSYLVANIA,2019,12,,-,13,,,-,50,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191213
KANSAS,2019,12,,-,3,,8,,4,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191222
TEXAS,2019,12,,-,44,,,-,62,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20191247
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191265
IDAHO,2019,12,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191251
IOWA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191221
ALASKA,2019,12,,-,2,,3,,2,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191258
ALABAMA,2019,12,,-,5,,8,,7,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191239
HAWAII,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191260
PACIFIC,2019,12,,-,9,,15,,19,,,-,0,,,-,,-,,PACIFIC,20191257
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191269
WASHINGTON,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191262
MISSOURI,2019,12,,-,2,,1,,1,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191224
RHODE ISLAND,2019,12,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191207
NEW ENGLAND,2019,12,1,,13,,14,,34,,,-,0,,,-,,-,,NEW ENGLAND,20191202
SOUTH DAKOTA,2019,12,,-,2,,,-,2,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191227
US RESIDENTS,2019,12,32,,108,,334,,524,,,-,1,,,-,1,,,US RESIDENTS,20191201
US TERRITORIES,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191263
SOUTH ATLANTIC,2019,12,15,,24,,158,,223,,,-,1,,,-,1,,,SOUTH ATLANTIC,20191228
NEW YORK CITY,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,NEW YORK CITY,20191212
OHIO,2019,12,,-,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191218
MICHIGAN,2019,12,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191217
GEORGIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191232
ARKANSAS,2019,12,,-,3,,4,,2,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191244
KENTUCKY,2019,12,1,,8,,2,,2,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191240
ILLINOIS,2019,12,,-,13,,3,,1,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191215
ARIZONA,2019,12,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191249
CONNECTICUT,2019,12,,-,3,,3,,9,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191203
WISCONSIN,2019,12,,N,,NC,,N,,N,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191219
WEST VIRGINIA,2019,12,2,,10,,10,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191237
OKLAHOMA,2019,12,,-,8,,6,,2,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191246
DELAWARE,2019,12,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191229
VERMONT,2019,12,,-,5,,,-,3,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191208
OREGON,2019,12,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191261
WYOMING,2019,12,,-,4,,3,,3,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191256
EAST SOUTH CENTRAL,2019,12,1,,8,,10,,9,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191238
INDIANA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191216
WEST NORTH CENTRAL,2019,12,,-,5,,9,,11,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20191220
NORTH CAROLINA,2019,12,4,,17,,56,,46,,,-,0,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191234
PUERTO RICO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191267
NEW MEXICO,2019,12,,-,2,,3,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191254
WEST SOUTH CENTRAL,2019,12,,-,45,,10,,66,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20191243
VIRGINIA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191236
IDAHO,2019,13,,-,3,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191351
NEBRASKA,2019,13,,-,3,,,-,4,,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191325
GEORGIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191332
AMERICAN SAMOA,2019,13,,U,,NC,,U,,U,,-,0,,,-,,-,,AMERICAN SAMOA,20191364
IOWA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191321
EAST SOUTH CENTRAL,2019,13,1,,8,,11,,9,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20191338
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191363
SOUTH CAROLINA,2019,13,,N,,NC,,N,,N,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191335
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191366
MARYLAND,2019,13,2,,11,,62,,50,,,-,0,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191333
NORTH DAKOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191326
NEW MEXICO,2019,13,1,,2,,4,,2,,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191354
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191365
OKLAHOMA,2019,13,,-,8,,6,,2,,,-,0,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20191346
NEW JERSEY,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191310
WYOMING,2019,13,,-,4,,3,,4,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191356
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191369
INDIANA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"INDIANA
(39.919991, -86.2818)",,20191316
MONTANA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191352
WEST VIRGINIA,2019,13,,-,10,,10,,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191337
VERMONT,2019,13,,-,5,,,-,4,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191308
SOUTH ATLANTIC,2019,13,9,,24,,172,,234,,,-,1,,,-,1,,,SOUTH ATLANTIC,20191328
KANSAS,2019,13,,-,3,,8,,7,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20191322
WEST NORTH CENTRAL,2019,13,,-,5,,9,,14,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20191320
HAWAII,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191360
WEST SOUTH CENTRAL,2019,13,,-,45,,10,,91,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20191343
US RESIDENTS,2019,13,34,,108,,376,,589,,,-,1,,,-,1,,,US RESIDENTS,20191301
LOUISIANA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191345
ARIZONA,2019,13,,N,,NC,,N,,N,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20191349
OREGON,2019,13,,-,3,,,-,,-,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20191361
ARKANSAS,2019,13,,-,3,,4,,2,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20191344
KENTUCKY,2019,13,,-,8,,2,,2,,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20191340
MAINE,2019,13,4,,5,,13,,10,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191304
OHIO,2019,13,,-,6,,3,,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191318
MASSACHUSETTS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191305
VIRGINIA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191336
PENNSYLVANIA,2019,13,,-,13,,,-,52,,,-,0,,,-,,-,"PENNSYLVANIA
(40.896694, -77.838886)",,20191313
MOUNTAIN,2019,13,1,,6,,7,,6,,,-,1,,,-,,-,,MOUNTAIN,20191348
RHODE ISLAND,2019,13,,-,3,,,-,3,,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191307
PACIFIC,2019,13,1,,9,,16,,21,,,-,0,,,-,,-,,PACIFIC,20191357
TEXAS,2019,13,,-,44,,,-,87,,,-,0,,,-,,-,"TEXAS
(31.447238, -99.317341)",,20191347
EAST NORTH CENTRAL,2019,13,,-,24,,7,,3,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20191314
MICHIGAN,2019,13,,-,7,,1,,2,,,-,0,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20191317
COLORADO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"COLORADO
(38.998552, -105.547832)",,20191350
TOTAL,2019,13,34,,108,,376,,589,,,-,1,,,-,1,,,TOTAL,20191370
NEW HAMPSHIRE,2019,13,1,,3,,5,,11,,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191306
UTAH,2019,13,,-,2,,,-,,-,,-,1,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191355
MIDDLE ATLANTIC,2019,13,16,,36,,121,,173,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20191309
NEVADA,2019,13,,-,2,,,-,,-,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191353
U.S. VIRGIN ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191368
CONNECTICUT,2019,13,1,,3,,5,,10,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191303
ILLINOIS,2019,13,,-,13,,3,,1,,,-,0,,,-,,-,"ILLINOIS
(40.124144, -89.148632)",,20191315
MISSISSIPPI,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191341
DELAWARE,2019,13,,-,0,,,-,,-,,-,1,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191329
WASHINGTON,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191362
NEW ENGLAND,2019,13,6,,13,,23,,38,,,-,0,,,-,,-,,NEW ENGLAND,20191302
PUERTO RICO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191367
ALABAMA,2019,13,1,,5,,9,,7,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191339
NEW YORK,2019,13,16,,29,,121,,121,,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20191311
ALASKA,2019,13,,-,2,,3,,2,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191358
